time,outdoor_temp,indoor_temp,heating_temp,heating_on
132,-9.946474378078637,21.48806098060591,25.54819026980626,1
133,-9.943082627508186,21.48712466633785,25.551988076920214,1
134,-9.939587248490543,21.486196638695247,25.555777934348193,1
135,-9.935988307572684,21.485276895283807,25.559559866340706,1
136,-9.932285873273258,21.48436543372155,25.56333389710176,1
137,-9.928480016081275,21.48346225163839,25.567100050788945,1
138,-9.924570808454773,21.482567346675722,25.570858351513536,1
139,-9.920558324819428,21.481680716486014,25.574608823340593,1
140,-9.916442641567144,21.480802358732383,25.57835149028906,1
141,-9.9122238370546,21.479932271088188,25.582086376331844,1
142,-9.90790199160175,21.479070451236616,25.58581350539593,1
143,-9.903477187490303,21.47821689687027,25.58953290136246,1
144,-9.89894950896215,21.477371605690756,25.593244588066838,1
145,-9.894319042217766,21.476534575408284,25.59694858929881,1
146,-9.889585875414562,21.475705803741242,25.60064492880256,1
147,-9.884750098665211,21.4748852884158,25.604333630276813,1
148,-9.879811804035931,21.474073027165485,25.608014717374914,1
149,-9.874771085544733,21.473269017730797,25.611688213704916,1
150,-9.869628039159632,21.472473257858788,25.615354142829677,1
151,-9.864382762796819,21.471685745302658,25.619012528266946,1
152,-9.859035356318794,21.470906477821345,25.62266339348945,1
153,-9.853585921532467,21.470135453179132,25.626306761924983,1
154,-9.848034562187221,21.46937266914524,25.62994265695649,1
155,-9.842381383972938,21.468618123493417,25.63357110192216,1
156,-9.83662649451798,21.46787181400154,25.637192120115504,1
157,-9.83077000338715,21.467133738451224,25.640805734785438,1
158,-9.824812022079593,21.466403894627405,25.644411969136378,1
159,-9.818752664026686,21.465682280317953,25.648010846328315,1
160,-9.812592044589875,21.464968893313266,25.6516023894769,1
161,-9.806330281058472,21.464263731405875,25.655186621653527,1
162,-9.799967492647426,21.46356679239005,25.65876356588542,1
163,-9.79350380049506,21.462878074061397,25.6623332451557,1
164,-9.786939327660754,21.462197574216468,25.66589568240348,1
165,-9.780274199122609,21.461525290652364,25.669450900523938,1
166,-9.773508541775062,21.460861221166343,25.672998922368393,1
167,-9.76664248442648,21.460205363555428,25.676539770744398,1
168,-9.759676157796694,21.459557715616004,25.6800734684158,1
169,-9.752609694514526,21.458918275143446,25.683600038102824,1
170,-9.74544322911525,21.45828703993172,25.687119502482158,1
171,-9.73817689803803,21.457664007772983,25.690631884187017,1
172,-9.730810839623345,21.457049176457215,25.69413720580723,1
173,-9.723345194110323,21.456442543771814,25.697635489889304,1
174,-9.715780103634096,21.45584410750122,25.701126758936503,1
175,-9.70811571222308,21.455253865426528,25.70461103540893,1
176,-9.700352165796243,21.4546718153251,25.708088341723585,1
177,-9.692489612160312,21.45409795497018,25.711558700254447,1
178,-9.68452820100698,21.453532282130524,25.715022133332546,1
179,-9.676468083910038,21.452974794569997,25.71847866324603,1
180,-9.668309414322497,21.45242549004721,25.721928312240244,1
181,-9.660052347573663,21.451884366315138,25.72537110251779,1
182,-9.651697040866186,21.45135142112073,25.728807056238605,1
183,-9.643243653273064,21.450826652204544,25.73223619552002,1
184,-9.63469234573461,21.450310057300364,25.735658542436845,1
185,-9.626043281055392,21.449801634134822,25.73907411902142,1
186,-9.617296623901135,21.44930138042703,25.742482947263696,1
187,-9.608452540795582,21.4488092938882,25.745885049111287,1
188,-9.59951120011733,21.448325372221277,25.74928044646955,1
189,-9.590472772096614,21.44784961312056,25.752669161201652,1
190,-9.581337428812077,21.44738201427134,25.756051215128615,1
191,-9.572105344187484,21.44692257334952,25.759426630029402,1
192,-9.562776693988422,21.44647128802126,25.762795427640974,1
193,-9.55335165581894,21.446028155942596,25.766157629658352,1
194,-9.543830409118183,21.44559317475908,25.769513257734676,1
195,-9.534213135156959,21.445166342105413,25.77286233348128,1
196,-9.524500017034304,21.444747655605084,25.77620487846774,1
197,-9.514691239673986,21.444337112870002,25.779540914221943,1
198,-9.504786989820989,21.443934711500138,25.782870462230143,1
199,-9.494787456037947,21.44354044908316,25.786193543937028,1
200,-9.484692828701576,21.443154323194076,25.789510180745776,1
201,-9.474503299999025,21.442776331394874,25.792820394018108,1
202,-9.464219063924233,21.442406471234168,25.796124205074356,1
203,-9.453840316274233,21.44204474024683,25.799421635193518,1
204,-9.44336725464542,21.441691135953644,25.802712705613313,1
205,-9.432800078429786,21.441345655860957,25.80599743753024,1
206,-9.422138988811138,21.44100829746031,25.80927585209964,1
207,-9.411384188761254,21.440679058228103,25.812547970435734,1
208,-9.400535883036023,21.44035793562523,25.8158138136117,1
209,-9.38959427817155,21.440044927096732,25.819073402659715,1
210,-9.37855958248022,21.439740030071455,25.822326758571013,1
211,-9.36743200604673,21.4394432419617,25.82557390229594,1
212,-9.356211760724097,21.439154560162876,25.828814854744003,1
213,-9.34489906012962,21.43887398205315,25.83204963678393,1
214,-9.33349411964081,21.438601504993105,25.83527826924371,1
215,-9.321997156391292,21.43833712632541,25.83850077291066,1
216,-9.310408389266676,21.43808084337446,25.84171716853147,1
217,-9.298728038900384,21.437832653446048,25.84492747681225,1
218,-9.286956327669447,21.437592553827017,25.84813171841858,1
219,-9.275093479690282,21.437360541784926,25.851329913975565,1
220,-9.263139720814412,21.437136614567724,25.85452208406789,1
221,-9.251095278624177,21.436920769403393,25.857708249239852,1
222,-9.238960382428392,21.43671300349963,25.86088842999542,1
223,-9.22673526325799,21.43651331404351,25.86406264679828,1
